forest_name,species,present
Angeles National Forest,aglais_milberti,TRUE
Apache-Sitgreaves National Forests,aglais_milberti,TRUE
Arapaho and Roosevelt National Forests,aglais_milberti,TRUE
Ashley National Forest,aglais_milberti,TRUE
Beaverhead-Deerlodge National Forest,aglais_milberti,TRUE
Bighorn National Forest,aglais_milberti,TRUE
Bitterroot National Forest,aglais_milberti,TRUE
Black Hills National Forest,aglais_milberti,TRUE
Boise National Forest,aglais_milberti,TRUE
Bridger-Teton National Forest,aglais_milberti,TRUE
Caribou-Targhee National Forest,aglais_milberti,TRUE
Carson National Forest,aglais_milberti,TRUE
Cibola National Forest,aglais_milberti,TRUE
Cleveland National Forest,aglais_milberti,FALSE
Coconino National Forest,aglais_milberti,TRUE
Columbia River Gorge National Scenic Area,aglais_milberti,TRUE
Colville National Forest,aglais_milberti,TRUE
Coronado National Forest,aglais_milberti,TRUE
Custer Gallatin National Forest,aglais_milberti,TRUE
Dakota Prairie Grasslands,aglais_milberti,FALSE
Deschutes National Forest,aglais_milberti,TRUE
Dixie National Forest,aglais_milberti,TRUE
Eldorado National Forest,aglais_milberti,TRUE
Fishlake National Forest,aglais_milberti,TRUE
Flathead National Forest,aglais_milberti,TRUE
Fremont-Winema National Forest,aglais_milberti,TRUE
Gifford Pinchot National Forest,aglais_milberti,TRUE
Gila National Forest,aglais_milberti,TRUE
"Grand Mesa, Uncompahgre and Gunnison National Forests",aglais_milberti,TRUE
Helena-Lewis and Clark National Forest,aglais_milberti,TRUE
Humboldt-Toiyabe National Forest,aglais_milberti,TRUE
Idaho Panhandle National Forests,aglais_milberti,TRUE
Inyo National Forest,aglais_milberti,TRUE
Kaibab National Forest,aglais_milberti,TRUE
Klamath National Forest,aglais_milberti,TRUE
Kootenai National Forest,aglais_milberti,TRUE
Lake Tahoe Basin Management Unit,aglais_milberti,TRUE
Lassen National Forest,aglais_milberti,TRUE
Lincoln National Forest,aglais_milberti,TRUE
Lolo National Forest,aglais_milberti,TRUE
Los Padres National Forest,aglais_milberti,TRUE
Malheur National Forest,aglais_milberti,TRUE
Manti-La Sal National Forest,aglais_milberti,TRUE
Medicine Bow-Routt National Forest,aglais_milberti,TRUE
Mendocino National Forest,aglais_milberti,FALSE
Modoc National Forest,aglais_milberti,TRUE
Mt. Baker-Snoqualmie National Forest,aglais_milberti,TRUE
Mt. Hood National Forest,aglais_milberti,TRUE
Nebraska National Forest,aglais_milberti,TRUE
Nez Perce-Clearwater National Forest,aglais_milberti,TRUE
Ochoco National Forest,aglais_milberti,TRUE
Okanogan-Wenatchee National Forest,aglais_milberti,TRUE
Olympic National Forest,aglais_milberti,TRUE
Payette National Forest,aglais_milberti,TRUE
Pike and San Isabel National Forests,aglais_milberti,TRUE
Plumas National Forest,aglais_milberti,TRUE
